Duration,Date,Pulse,Maxpulse,Calories
1,'2020/12/01',12,13,17.1
1,'2020/12/02',41,12,49.0
1,'2020/12/03',5,38,34.0
2,'2020/12/04',11,33,282.4
2,'2020/12/05',17,81,46.0
1,'2020/12/06',10,44,9.0
1,'2020/12/07',12,13,35.0
20,'2020/12/08',7,13,43.3
30,'2020/12/09',11,33,34.1
1,'2020/12/10',8,24,23.0
1,'2020/12/11',5,14,22.3
1,'2020/12/12',3,4,20.7
1,'2020/12/12',3,4,50.7
1,'2020/12/13',10,27,32.3
1,'2020/12/14',7,6,28.3
1,'2020/12/15',8,81,25.0
1,'2020/12/16',8,4,42.2
1,'2020/12/17',3,4,9.0
2,'2020/12/18',90,19,
1,'2020/12/19',5,29,23.0
2,'2020/12/20',97,38,30.0
1,'2020/12/21',18,26,15.2
2,,3,19,82.0
1,'2020/12/23',13,61,9.0
2,'2020/12/24',15,6,71.0
1,'2020/12/25',10,16,47.5
1,20201226,3,4,45.0
1,'2020/12/27',92,59,41.0
1,'2020/12/28',5,6,
1,'2020/12/29',3,6,21.0
1,'2020/12/30',10,65,67.3
1,'2020/12/31',92,56,76.0
